surrogate,alpha,arm,horizon,seed,n_samples,rel_welfare_loss,gain_estimator_err,max_min_ratio,bundle_envy,outcome_envy,mean_outcome,law_predicted_loss
strong,0.5,uniform,8,1,192,0.004048873761548473,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,0.5,persistence,8,1,192,0.004534974257353024,0.09983239226403162,0.5023653495763405,0.44238921442936857,0.7551421185051943,0.10989340226272004,nan
strong,0.5,learned,8,1,192,1.631728091957066e-05,0.005152815048070496,0.4756815811161103,0.410564533844512,0.8178999453378544,0.11046423833553894,nan
strong,0.5,learned_robust,8,1,192,1.5607506285735217e-05,0.004955999438534861,0.47470267686267675,0.41360671009124883,0.8208582972134443,0.11047606094487354,nan
strong,0.5,plugin,8,2,192,2.963620334163012e-06,0.0021201305965775756,0.4735181220783134,0.414074470469369,0.8208951692250873,0.11046990132599545,2.9664208724448295e-06
strong,0.5,shrunk,8,2,192,2.963620334163012e-06,0.0021201305965775756,0.4735181220783134,0.414074470469369,0.8208951692250873,0.11046990132599545,nan
strong,0.5,smoothed,8,2,192,8.857946502651565e-06,0.004000835932353494,0.478518066302512,0.4012361772393489,0.8082953950782622,0.11042821325008963,nan
strong,0.5,uniform,8,2,192,0.004048873761548473,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,0.5,persistence,8,2,192,0.004534974257353024,0.09983239226403162,0.5023653495763405,0.44238921442936857,0.7551421185051943,0.10989340226272004,nan
strong,0.5,learned,8,2,192,1.0218142541475647e-05,0.004248943145386032,0.4747220529610319,0.4115711121216699,0.8188863192946952,0.11046368206998958,nan
strong,0.5,learned_robust,8,2,192,9.377049051773867e-06,0.0040078016309693185,0.47394257143004737,0.41410983460708256,0.8213481019599417,0.11047386100259428,nan
strong,1.0,plugin,8,0,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,0.0
strong,1.0,shrunk,8,0,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,1.0,smoothed,8,0,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,1.0,uniform,8,0,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,1.0,persistence,8,0,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,1.0,learned,8,0,192,-2.7994462188189275e-09,nan,0.670858081830961,7.016584251353294e-05,0.41635995615307625,0.10912077227117872,nan
strong,1.0,learned_robust,8,0,192,-4.8018540555842355e-09,nan,0.6708575538016128,6.890452113072474e-05,0.4163606543514602,0.10912077433561479,nan
strong,1.0,plugin,8,1,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,0.0
strong,1.0,shrunk,8,1,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,1.0,smoothed,8,1,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,1.0,uniform,8,1,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,1.0,persistence,8,1,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,1.0,learned,8,1,192,5.156939285322348e-10,nan,0.6708526050108544,0.00016859577357062036,0.41637043896179526,0.10912079267553292,nan
strong,1.0,learned_robust,8,1,192,-4.641034288937103e-09,nan,0.6708518667680518,0.00016734935244183357,0.41637166962797806,0.10912079764523108,nan
strong,1.0,plugin,8,2,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,0.0
strong,1.0,shrunk,8,2,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,1.0,smoothed,8,2,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,1.0,uniform,8,2,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
