scenario,field,regime,coverage_nominal_pct,modes,coverage_actual_pct,n_obs,n_dof,obs_per_dof,n_modes_constrained,constrained_frac,best_rcond,rcond_spread,n_masks,vrmse,vrmse_sd,vrmse_oracle,sparsity_penalty,sparsity_penalty_sd
spots,A,blocks,2.0,16,1.953125,320,1089,0.2938475665748393,104,0.09550045913682277,0.01,402.1095967998458,3,3.7003384976278646,0.0066554198792658295,0.20374030409797217,3.4965981935298927,0.006655419879265728
spots,B,blocks,2.0,16,1.953125,320,1089,0.2938475665748393,63,0.05785123966942149,0.1,897.1396319469374,3,1.3484563585930072,0.004613202466978372,0.2615385291886721,1.086917829404335,0.004613202466978372
worms,A,blocks,2.0,16,1.953125,320,1089,0.2938475665748393,104,0.09550045913682277,0.01,334.4109272585145,3,3.393730770209905,0.01667597165278159,0.2365762019631167,3.1571545682467885,0.01667597165278159
worms,B,blocks,2.0,16,1.953125,320,1089,0.2938475665748393,63,0.05785123966942149,0.1,770.53785003986,3,1.2427116762626902,0.003116555088734688,0.3351919345254527,0.9075197417372376,0.003116555088734688
bubbles,A,blocks,1.0,16,1.171875,192,1089,0.1763085399449036,66,0.06060606060606061,0.01,351.9515684982382,3,7.188300567210454,0.013753429389696191,0.2434478710403647,6.944852696170088,0.013753429389696191
bubbles,B,blocks,1.0,16,1.171875,192,1089,0.1763085399449036,39,0.03581267217630854,0.1,727.1953716776761,3,1.0351936168097475,0.0030314090606425835,0.3233261695706953,0.7118674472390522,0.0030314090606425835
gliders,A,blocks,1.0,16,1.171875,192,1089,0.1763085399449036,66,0.06060606060606061,0.01,70.65936834822958,3,3.765336922107741,0.0032900925487637134,0.10261035442513168,3.662726567682609,0.0032900925487637134
gliders,B,blocks,1.0,16,1.171875,192,1089,0.1763085399449036,39,0.03581267217630854,0.1,282.7727430911961,3,1.1419818644088808,0.0013667089878819886,0.2460299144705538,0.8959519499383269,0.0013667089878819886
maze,A,blocks,1.0,16,1.171875,192,1089,0.1763085399449036,66,0.06060606060606061,0.01,167.9499382022437,3,3.5056983800776695,0.009046890468075207,0.19757140485628003,3.3081269752213895,0.009046890468075207
maze,B,blocks,1.0,16,1.171875,192,1089,0.1763085399449036,66,0.06060606060606061,0.01,382.8471642441964,3,1.8878857378488576,0.007154048157427063,0.24253495583884688,1.645350782010011,0.007154048157427166
spirals,A,blocks,1.0,16,1.171875,192,1089,0.1763085399449036,66,0.06060606060606061,0.01,88.3738259493211,3,2.7292095247677906,0.010209570571478747,0.1310432304778304,2.59816629428996,0.0102095705714786
spirals,B,blocks,1.0,16,1.171875,192,1089,0.1763085399449036,39,0.03581267217630854,0.1,311.65347074880094,3,1.3603436042092187,0.0027364876577281893,0.28376586866410064,1.0765777355451183,0.0027364876577281893
spots,A,blocks,1.0,16,1.171875,192,1089,0.1763085399449036,66,0.06060606060606061,0.01,320.4495790289155,3,3.8140570345411393,0.006378982463814588,0.20374030409797217,3.610316730443167,0.00637898246381456
spots,B,blocks,1.0,16,1.171875,192,1089,0.1763085399449036,39,0.03581267217630854,0.1,714.0985902292429,3,1.3672009983681461,0.0010398725104928408,0.2615385291886721,1.1056624691794743,0.0010398725104928408
worms,A,blocks,1.0,16,1.171875,192,1089,0.1763085399449036,66,0.06060606060606061,0.01,253.62286172465562,3,3.4940549848234443,0.010114461634015918,0.2365762019631167,3.257478782860327,0.010114461634015918
worms,B,blocks,1.0,16,1.171875,192,1089,0.1763085399449036,39,0.03581267217630854,0.1,600.9923932956358,3,1.2561174609420256,0.002076718351988704,0.3351919345254527,0.9209255264165729,0.002076718351988704
bubbles,A,grid,50.0,16,100.0,16384,1089,15.044995408631772,1089,1.0,1e-06,0.0,3,0.2434478710403647,0.0,0.2434478710403647,0.0,0.0
bubbles,B,grid,50.0,16,100.0,16384,1089,15.044995408631772,1089,1.0,1e-06,0.0,3,0.3233261695706953,0.0,0.3233261695706953,0.0,0.0
gliders,A,grid,50.0,16,100.0,16384,1089,15.044995408631772,1089,1.0,1e-06,0.0,3,0.10261035442513168,0.0,0.10261035442513168,0.0,0.0
gliders,B,grid,50.0,16,100.0,16384,1089,15.044995408631772,1089,1.0,1e-06,0.0,3,0.2460299144705538,0.0,0.2460299144705538,0.0,0.0
maze,A,grid,50.0,16,100.0,16384,1089,15.044995408631772,1089,1.0,1e-06,0.0,3,0.19757140485628003,0.0,0.19757140485628003,0.0,0.0
maze,B,grid,50.0,16,100.0,16384,1089,15.044995408631772,1089,1.0,1e-06,0.0,3,0.24253495583884688,0.0,0.24253495583884688,0.0,0.0
spirals,A,grid,50.0,16,100.0,16384,1089,15.044995408631772,1089,1.0,1e-06,0.0,3,0.1310432304778304,0.0,0.1310432304778304,0.0,0.0
spirals,B,grid,50.0,16,100.0,16384,1089,15.044995408631772,1089,1.0,1e-06,0.0,3,0.28376586866410064,0.0,0.28376586866410064,0.0,0.0
spots,A,grid,50.0,16,100.0,16384,1089,15.044995408631772,1089,1.0,1e-06,0.0,3,0.20374030409797217,0.0,0.20374030409797217,0.0,0.0
spots,B,grid,50.0,16,100.0,16384,1089,15.044995408631772,1089,1.0,1e-06,0.0,3,0.2615385291886721,0.0,0.2615385291886721,0.0,0.0
worms,A,grid,50.0,16,100.0,16384,1089,15.044995408631772,1089,1.0,1e-06,0.0,3,0.2365762019631167,0.0,0.2365762019631167,0.0,0.0
worms,B,grid,50.0,16,100.0,16384,1089,15.044995408631772,1089,1.0,1e-06,0.0,3,0.33519193452545276,5.551115123125783e-17,0.3351919345254527,0.0,0.0
bubbles,A,grid,25.0,16,25.0,4096,1089,3.761248852157943,1089,1.0,1e-06,0.0,3,0.24386476280221422,6.3121685220692986e-06,0.2434478710403647,0.0004168917618495027,6.3121685220692986e-06
bubbles,B,grid,25.0,16,25.0,4096,1089,3.761248852157943,1089,1.0,1e-06,0.0,3,0.3246799859526417,2.1366100148606176e-05,0.3233261695706953,0.0013538163819463527,2.1366100148606176e-05
gliders,A,grid,25.0,16,25.0,4096,1089,3.761248852157943,1089,1.0,1e-06,0.0,3,0.10263238692943695,8.080371850582608e-07,0.10261035442513168,2.2032504305278627e-05,8.080371850582608e-07
gliders,B,grid,25.0,16,25.0,4096,1089,3.761248852157943,1089,1.0,1e-06,0.0,3,0.24618494317715964,5.611258458918616e-06,0.2460299144705538,0.0001550287066058309,5.611258458918616e-06
maze,A,grid,25.0,16,25.0,4096,1089,3.761248852157943,1089,1.0,1e-06,0.0,3,0.197595188911192,3.581397990676719e-07,0.19757140485628003,2.3784054911962782e-05,3.581397990676719e-07
maze,B,grid,25.0,16,25.0,4096,1089,3.761248852157943,1089,1.0,1e-06,0.0,3,0.24264324980972693,1.6669974618643464e-06,0.24253495583884688,0.00010829397088003383,1.6669974618643464e-06
spirals,A,grid,25.0,16,25.0,4096,1089,3.761248852157943,1089,1.0,1e-06,0.0,3,0.13107784503424563,3.813317197561443e-08,0.1310432304778304,3.461455641523559e-05,3.813317197561443e-08
spirals,B,grid,25.0,16,25.0,4096,1089,3.761248852157943,1089,1.0,1e-06,0.0,3,0.2839807851543927,3.1035178704233295e-07,0.28376586866410064,0.00021491649029202012,3.1035178704233295e-07
spots,A,grid,25.0,16,25.0,4096,1089,3.761248852157943,1089,1.0,1e-06,0.0,3,0.20381648510957487,5.014818262025558e-07,0.20374030409797217,7.618101160269027e-05,5.014818262025558e-07
spots,B,grid,25.0,16,25.0,4096,1089,3.761248852157943,1089,1.0,1e-06,0.0,3,0.26187672243713717,2.2368703558003177e-06,0.2615385291886721,0.00033819324846505,2.2368703558003177e-06
worms,A,grid,25.0,16,25.0,4096,1089,3.761248852157943,1089,1.0,1e-06,0.0,3,0.23670508025402962,1.2666400925064912e-06,0.2365762019631167,0.00012887829091292233,1.2666400925064912e-06
worms,B,grid,25.0,16,25.0,4096,1089,3.761248852157943,1089,1.0,1e-06,0.0,3,0.3357316540248239,5.9149401770190915e-06,0.3351919345254527,0.0005397194993712421,5.9149401770190915e-06
bubbles,A,grid,10.0,16,11.02294921875,1806,1089,1.6584022038567494,1089,1.0,1e-06,0.0,3,0.2565626933602341,0.0017893377133823692,0.2434478710403647,0.01311482231986936,0.0017893377133823692
bubbles,B,grid,10.0,16,11.02294921875,1806,1089,1.6584022038567494,1089,1.0,1e-06,0.0,3,0.3462679066422138,0.0023170502411597083,0.3233261695706953,0.022941737071518475,0.0023170502411597083
gliders,A,grid,10.0,16,11.02294921875,1806,1089,1.6584022038567494,1089,1.0,1e-06,0.0,3,0.10999828675650675,0.0014428393569889527,0.10261035442513168,0.007387932331375066,0.0014428393569889527
gliders,B,grid,10.0,16,11.02294921875,1806,1089,1.6584022038567494,1089,1.0,1e-06,0.0,3,0.27070333482310066,0.0035565239990967166,0.2460299144705538,0.024673420352546892,0.0035565239990967166
maze,A,grid,10.0,16,11.02294921875,1806,1089,1.6584022038567494,1089,1.0,1e-06,0.0,3,0.20511121189247053,0.0015842927261086146,0.19757140485628003,0.007539807036190523,0.0015842927261086148
maze,B,grid,10.0,16,11.02294921875,1806,1089,1.6584022038567494,1089,1.0,1e-06,0.0,3,0.25510352740633974,0.0019653108973626252,0.24253495583884688,0.01256857156749284,0.0019653108973626252
spirals,A,grid,10.0,16,11.02294921875,1806,1089,1.6584022038567494,1089,1.0,1e-06,0.0,3,0.1388302919827695,0.0015918612931741006,0.1310432304778304,0.007787061504939102,0.0015918612931741006
spirals,B,grid,10.0,16,11.02294921875,1806,1089,1.6584022038567494,1089,1.0,1e-06,0.0,3,0.30656994402928334,0.0033751986576288345,0.28376586866410064,0.022804075365182697,0.0033751986576288345
spots,A,grid,10.0,16,11.02294921875,1806,1089,1.6584022038567494,1089,1.0,1e-06,0.0,3,0.21283647204104897,0.0019253160277731903,0.20374030409797217,0.009096167943076808,0.0019253160277731903
