surrogate,alpha,arm,horizon,seed,n_samples,rel_welfare_loss,gain_estimator_err,max_min_ratio,bundle_envy,outcome_envy,mean_outcome,law_predicted_loss
strong,4.0,learned,8,0,192,9.079798187539186e-05,0.005278053954706388,0.898221570810648,0.3253301805223365,0.10822066832062031,0.10808001601189027,nan
strong,4.0,learned_robust,8,0,192,9.108099711349453e-05,0.005190665955469229,0.8999919117277999,0.32745950355014947,0.10615305847254623,0.10807121684258551,nan
strong,4.0,plugin,16,0,144,7.114917281037202e-05,0.004410729268143124,0.9066845104842256,0.28718825597794334,0.09912840201257696,0.11322611027817614,7.2197898710112e-05
strong,4.0,shrunk,16,0,144,7.114917281037202e-05,0.004410729268143124,0.9066845104842256,0.28718825597794334,0.09912840201257696,0.11322611027817614,nan
strong,4.0,smoothed,16,0,144,8.744174260475145e-05,0.005531298950549386,0.8994956160413877,0.27801196461872935,0.10726094207962117,0.11325170689737801,nan
strong,4.0,uniform,16,0,144,0.01588337505303136,0.07803515060321732,0.705505047151115,0.0,0.3613191877089655,0.11404360715965765,nan
strong,4.0,persistence,16,0,144,0.0564320111478208,0.17177996018659775,0.5174499020658635,0.3459038174354797,0.654843785314974,0.1146007574801081,nan
strong,4.0,learned,16,0,144,0.000124627925645752,0.006089125893833332,0.9038765411159382,0.2845842390092005,0.10241235819566792,0.11323052339603004,nan
strong,4.0,learned_robust,16,0,144,0.00011370590850652562,0.005693683662687299,0.9057109107750857,0.2864701951290398,0.10027688062472574,0.11322317328308129,nan
strong,4.0,plugin,1,1,240,3.0105813369272576e-06,0.0009877984739168411,0.8921569609421288,0.3503295417496665,0.11599112023098734,0.09527243265928108,3.0087333147608004e-06
strong,4.0,shrunk,1,1,240,3.0105813369272576e-06,0.0009877984739168411,0.8921569609421288,0.3503295417496665,0.11599112023098734,0.09527243265928108,nan
strong,4.0,smoothed,1,1,240,3.738769913148125e-05,0.0038230424108309704,0.8824533791985537,0.33922171503690923,0.12724958061433972,0.09530605005891675,nan
strong,4.0,uniform,1,1,240,0.02119681839083425,0.10205577406303998,0.6444972487946347,0.0,0.47111283347883304,0.09633997139743694,nan
strong,4.0,persistence,1,1,240,0.000623705830339182,0.01590770101443319,0.8811201230864363,0.3508662055621983,0.12915604562469174,0.09527670726655563,nan
strong,4.0,learned,1,1,240,0.0002213924874273678,0.008072714649507819,0.8817347125402613,0.3423487317646913,0.12837442436189594,0.09529097489490686,nan
strong,4.0,learned_robust,1,1,240,0.00021862039224472644,0.00803104630881796,0.882899178884328,0.3436747693145573,0.12690723249878946,0.09528477471390347,nan
strong,4.0,plugin,2,1,228,8.073888753677144e-06,0.0015776841459994304,0.8921923334807382,0.35056265653374213,0.11580213297033842,0.09827455066377953,8.061417152221538e-06
strong,4.0,shrunk,2,1,228,8.073888753677144e-06,0.0015776841459994304,0.8921923334807382,0.35056265653374213,0.11580213297033842,0.09827455066377953,nan
strong,4.0,smoothed,2,1,228,4.123160511613484e-05,0.003972883330916259,0.8825878051788646,0.33939669284224006,0.12690263756487752,0.09830898890345773,nan
strong,4.0,uniform,2,1,228,0.021376993038202764,0.10135008354865832,0.6457458758127619,0.0,0.4668073329961366,0.09936467317772178,nan
strong,4.0,persistence,2,1,228,0.0022481757777428925,0.03044025851462886,0.8548672867688891,0.3467891454081593,0.1611405194205377,0.0983090555596458,nan
strong,4.0,learned,2,1,228,0.00018962447834900304,0.007391030629245196,0.8833923173322754,0.34338512538225885,0.1261510844414341,0.09829083232425362,nan
strong,4.0,learned_robust,2,1,228,0.00018609817232052,0.007324134282245883,0.8846488812810079,0.3448336901195118,0.12459475916262279,0.09828434871904027,nan
strong,4.0,plugin,4,1,216,1.3305104393259962e-05,0.0019756838999352233,0.8927654979974973,0.34593918463378126,0.1149515473513669,0.1015501403667191,1.3261902852436919e-05
strong,4.0,shrunk,4,1,216,1.3305104393259962e-05,0.0019756838999352233,0.8927654979974973,0.34593918463378126,0.1149515473513669,0.1015501403667191,nan
strong,4.0,smoothed,4,1,216,4.5979831474800024e-05,0.0040962690198531986,0.8833965333742063,0.3347184007473691,0.1257247145298406,0.10158495071219752,nan
strong,4.0,uniform,4,1,216,0.021177241009088563,0.09917762022391831,0.6509624711799005,0.0,0.45524565394484945,0.10264744283649806,nan
strong,4.0,persistence,4,1,216,0.0076247488451474076,0.056772187188489455,0.7886700647984942,0.3378034568447377,0.2426837921643953,0.10168967152607061,nan
strong,4.0,learned,4,1,216,0.0001413317700355489,0.006400392827557297,0.8870912884025633,0.3410147575996686,0.12138425372270788,0.10156111741909131,nan
strong,4.0,learned_robust,4,1,216,0.0001375771478073305,0.006301818177570777,0.8883505199915386,0.3424659558721506,0.11983843488203912,0.10155445033506315,nan
strong,4.0,plugin,8,1,192,1.4801626587593203e-05,0.0021201305965775786,0.8986419587980375,0.32363765247142257,0.10790436577521123,0.10808872080199254,1.4810967566747477e-05
strong,4.0,shrunk,8,1,192,1.4801626587593203e-05,0.0021201305965775786,0.8986419587980375,0.32363765247142257,0.10790436577521123,0.10808872080199254,nan
strong,4.0,smoothed,8,1,192,4.4741358929019946e-05,0.0040008359323535,0.8898492822200298,0.31279779662750734,0.1178844130716687,0.10812215551127007,nan
strong,4.0,uniform,8,1,192,0.019009319922736488,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,4.0,persistence,8,1,192,0.021925095313829857,0.09983239226403162,0.6726871340980827,0.3210021062226012,0.3949453305106865,0.10854873793676546,nan
strong,4.0,learned,8,1,192,8.701891384535708e-05,0.005339801440560575,0.8963681235221374,0.32181867721242896,0.1102648794727561,0.10809009507081913,nan
