ky,kx,radius,rel_norm_diff,analytic_lead_magnitude,empirical_lead_magnitude,log_magnitude_gap,arm
-1,3,3.1622776601683795,0.47569830456715345,0.5187932975056311,0.9893508075438957,-0.6455434449419448,advection
-1,4,4.123105625617661,0.47534941746777415,0.5218192687841278,0.9943344996391985,-0.6447523692496905,advection
-1,5,5.0990195135927845,0.4744808849760861,0.5192512094051579,0.9873626777550734,-0.6426496347122841,advection
0,0,0.0,0.430524500072893,0.5012101941813193,0.9093347146869204,-0.5956876870151545,lambda
0,1,1.0,0.43048580996391445,0.49933712191662866,0.9088668504343543,-0.5989171416149904,lambda
0,2,2.0,0.4302689355330564,0.4987570937234625,0.9070279679126467,-0.598054094158216,lambda
0,3,3.0,0.4302588745014647,0.49875700003578854,0.9053285621842442,-0.5961789266846749,lambda
0,4,4.0,0.4303691899702526,0.49923949841143045,0.9064385410654882,-0.5964372924986429,lambda
0,5,5.0,0.43042828941136124,0.49926285500961287,0.90681622486007,-0.5968070903016964,lambda
0,6,6.0,0.4303652375383953,0.49908537898432764,0.9063831895017691,-0.5966849818117288,lambda
1,0,1.0,0.43042812898716787,0.4994681890894117,0.9090729202608998,-0.5988814007151056,lambda
1,1,1.4142135623730951,0.4303570643171828,0.49903562401707063,0.9080375699113901,-0.5986082702806131,lambda
1,2,2.23606797749979,0.4300610010199065,0.49871373193580676,0.9037460763380273,-0.5945161842920612,lambda
1,3,3.1622776601683795,0.4301869624589067,0.49887780109780805,0.903184440466121,-0.5935656073859495,lambda
1,4,4.123105625617661,0.43037326784965063,0.4990575036149041,0.9062477626430184,-0.5965914105407503,lambda
1,5,5.0990195135927845,0.43043378567045987,0.4991519956783947,0.9067384736974401,-0.5969434164887715,lambda
2,0,2.0,0.4304025787712269,0.4987553050111265,0.9066091625676559,-0.5975958402106621,lambda
2,1,2.23606797749979,0.43009046854135324,0.4985901507856296,0.9044149171119139,-0.5955038170444454,lambda
2,2,2.8284271247461903,0.4300826434111909,0.4986466944889889,0.9046264306010077,-0.5956242567091249,lambda
2,3,3.605551275463989,0.4302946576317894,0.49921910732562397,0.905715596366355,-0.5956802532517105,lambda
2,4,4.47213595499958,0.43037485417291615,0.49916990894804997,0.906711708120322,-0.5968780107730896,lambda
2,5,5.385164807134504,0.4303939515027413,0.4990734415681347,0.9066513528134885,-0.5970047177868241,lambda
3,0,3.0,0.4304325974189676,0.49879655273379947,0.9058480120591985,-0.5966732321982166,lambda
3,1,3.1622776601683795,0.43021630533974514,0.4988792766483807,0.9048048385805353,-0.5953551365500171,lambda
3,2,3.605551275463989,0.43030134933142894,0.49918744474943627,0.9058850440498774,-0.5959307490488844,lambda
3,3,4.242640687119285,0.43038508979795403,0.4995970358654905,0.9067557365523765,-0.596071259422956,lambda
3,4,5.0,0.43038922481112585,0.49915551294499316,0.9067141763858525,-0.5969095732872909,lambda
3,5,5.830951894845301,0.43039853141613926,0.49922666534920596,0.9068447168743472,-0.5969109984547499,lambda
4,0,4.0,0.4304463097890893,0.49911237228013794,0.9064424997025003,-0.5966963317280484,lambda
4,1,4.123105625617661,0.4304150995078175,0.49937372237394717,0.9066022580933705,-0.5963490711638494,lambda
4,2,4.47213595499958,0.4304119002251225,0.4995724896405653,0.9073574539545268,-0.5967837663045341,lambda
4,3,5.0,0.4304054427418421,0.49933465680834277,0.9073277454358282,-0.5972272100409269,lambda
4,4,5.656854249492381,0.4303945355588722,0.49916124515901633,0.9068522539631045,-0.597050361401132,lambda
5,0,5.0,0.4304655612117685,0.49913289336418,0.9067461931964759,-0.5969902001978088,lambda
5,1,5.0990195135927845,0.43043439079258516,0.4992431824512157,0.9072133479906049,-0.5972843296370244,lambda
5,2,5.385164807134504,0.430377832456005,0.4991807838623098,0.906313622605032,-0.5964170855097649,lambda
