arm,ky,kx,radius,extracted_magnitude,extracted_freq,extracted_sigma,label,exact_magnitude,exact_freq,magnitude_error,freq_error
advection,1,3,3.1622776601683795,0.9940526307362403,0.046656254852738076,-0.0059651253004803974,damped,0.9961521079633432,0.04687499999999999,-0.0020994772271029083,-0.0002187451472619173
advection,1,4,4.123105625617661,0.9902195695427721,0.061175514343938725,-0.00982857302775311,damped,0.99346739666433,0.06250000000000001,-0.0032478271215579113,-0.0013244856560612889
advection,1,5,5.0990195135927845,0.9885786674169278,0.07737463211165878,-0.011487056920970354,damped,0.990026254042921,0.078125,-0.0014475866259932024,-0.0007503678883412218
advection,2,0,2.0,0.9976081308899308,0.0004365768818206186,-0.0023947341985118375,primary,0.9984590627771489,0.0,-0.000850931887218076,0.0004365768818206186
advection,2,1,2.23606797749979,0.9990049015766906,0.015942771463033936,-0.0009955938624464685,resonant,0.9980741996281355,0.015625,0.0009307019485551571,0.0003177714630339355
advection,2,2,2.8284271247461903,0.9939897389411024,0.03179733123071737,-0.0060283953757243585,damped,0.9969205000418225,0.031249999999999997,-0.002930761100720103,0.0005473312307173704
advection,2,3,3.605551275463989,0.9902727134396967,0.04618385413228123,-0.009774905666972193,damped,0.9950006301721226,0.046875,-0.004727916732425896,-0.000691145867718769
advection,2,4,4.47213595499958,0.9856280339200959,0.061485767063777036,-0.014476243100799773,damped,0.992319022199812,0.06250000000000001,-0.006690988279716148,-0.001014232936222978
advection,2,5,5.385164807134504,0.9877731083676611,0.07787598098964955,-0.012302255008424157,damped,0.988881857283488,0.078125,-0.001108748915826907,-0.0002490190103504458
advection,3,0,3.0,0.9977527644352959,1.5250322054047525e-05,-0.0022497643878302245,primary,0.9965362299427611,0.0,0.001216534492534782,1.5250322054047525e-05
advection,3,1,3.1622776601683795,0.9929552116849822,0.014938667065842612,-0.007069719997503414,damped,0.9961521079633432,0.015625,-0.00319689627836095,-0.0006863329341573882
advection,3,2,3.605551275463989,0.9932676562571134,0.032227926381814806,-0.006755108198645131,damped,0.9950006301721226,0.03125,-0.0017329739150091505,0.000977926381814806
advection,3,3,4.242640687119285,0.9910243383042632,0.046865864355903154,-0.009016185615416727,damped,0.9930844575885316,0.04687499999999999,-0.0020601192842684135,-9.135644096838758e-06
advection,3,4,5.0,0.9864199017249954,0.062112931094914,-0.013673151215307166,damped,0.9904080138578515,0.06250000000000001,-0.003988112132856103,-0.00038706890508601044
